year	month	day	symbol	nav	kinni	enne55_jatkab	katkestab_3ei	katkestab_3jah	parast55_jatkab_3ei	parast55_jatkab_3jah
2004	6	27	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	28	SWK25	0.71453	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	29	SWK25	0.71453	1.5	0.06	0.06	0.06	0.06	0.06
2004	6	30	SWK25	0.71581	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	1	SWK25	0.71517	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	2	SWK25	0.71453	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	3	SWK25	0.71517	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	4	SWK25	0.71517	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	5	SWK25	0.71517	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	6	SWK25	0.71389	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	7	SWK25	0.71453	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	8	SWK25	0.71325	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	9	SWK25	0.71389	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	10	SWK25	0.71325	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	11	SWK25	0.71325	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	12	SWK25	0.71453	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	13	SWK25	0.71389	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	14	SWK25	0.71325	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	15	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	16	SWK25	0.71389	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	17	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	18	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	19	SWK25	0.71389	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	20	SWK25	0.71453	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	21	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	22	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	23	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	24	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	25	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	26	SWK25	0.71198	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	27	SWK25	0.71262	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	28	SWK25	0.71198	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	29	SWK25	0.71389	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	30	SWK25	0.71581	1.5	0.06	0.06	0.06	0.06	0.06
2004	7	31	SWK25	0.71389	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	1	SWK25	0.71389	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	2	SWK25	0.71581	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	3	SWK25	0.71581	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	4	SWK25	0.71581	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	5	SWK25	0.71581	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	6	SWK25	0.71453	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	7	SWK25	0.71581	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	8	SWK25	0.71581	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	9	SWK25	0.71453	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	10	SWK25	0.71581	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	11	SWK25	0.71453	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	12	SWK25	0.71453	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	13	SWK25	0.71389	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	14	SWK25	0.71453	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	15	SWK25	0.71453	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	16	SWK25	0.71453	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	17	SWK25	0.71581	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	18	SWK25	0.71645	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	19	SWK25	0.71645	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	20	SWK25	0.71645	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	21	SWK25	0.71645	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	22	SWK25	0.71645	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	23	SWK25	0.71837	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	24	SWK25	0.71901	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	25	SWK25	0.72028	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	26	SWK25	0.72028	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	27	SWK25	0.7222	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	28	SWK25	0.72028	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	29	SWK25	0.72028	1.5	0.06	0.06	0.06	0.06	0.06
